item_id,day_index,actual_sales,median_q50,conformal_lower_q10,conformal_upper_q90,recommended_order_qty,interval_width,relative_risk,risk_level,primary_risk_driver,recommended_actions,Demand Trend,Demand Volatility,Seasonality & Events,Data Reliability,Unmapped / Other,risk_driver_demand_volatility,risk_driver_seasonality_and_events,risk_driver_data_reliability
HOBBIES_1_127_WI_2_validation,1913,0,0.0,0.0,1.77,2.0,1.77,177000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",76.61,12.46,2.71,0.09,8.12,81.63,17.79,0.58
FOODS_3_448_WI_2_validation,1898,0,0.0,0.0,1.05,1.0,1.05,105000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",79.47,13.59,2.8,0.08,4.07,82.5,16.99,0.5
HOUSEHOLD_1_082_WI_1_validation,1893,0,1.01,0.0,2.88,3.0,2.88,2.8514569162681553,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",81.37,7.42,6.83,0.22,4.16,51.3,47.2,1.5
FOODS_2_146_CA_2_validation,1905,2,1.29,0.0,3.72,4.0,3.72,2.883698575980031,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",69.03,5.73,8.11,0.18,16.95,40.87,57.84,1.29
FOODS_3_281_WI_2_validation,1894,12,12.5,4.81,26.05,23.0,21.240000000000002,1.6991986406410877,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",83.95,7.71,3.46,0.28,4.6,67.36,30.23,2.41
HOUSEHOLD_1_112_CA_1_validation,1903,3,1.54,0.0,3.69,4.0,3.69,2.39608833708872,LOW,Seasonality And Events,"['Follow planned seasonal inventory', 'Continue monitoring event calendar', 'No additional action required']",71.62,6.91,9.29,0.22,11.96,42.07,56.58,1.34
FOODS_1_211_WI_3_validation,1902,0,0.04,0.0,2.35,2.0,2.35,58.735316170957255,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",76.87,13.59,2.44,0.11,7.0,84.19,15.12,0.69
HOBBIES_1_218_CA_4_validation,1899,0,0.0,0.0,0.0,1.0,0.0,0.0,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",78.27,13.53,2.56,0.08,5.56,83.68,15.8,0.52
FOODS_2_353_CA_4_validation,1898,1,0.03,0.0,2.11,2.0,2.11,70.30989670109963,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",71.91,12.66,3.57,0.11,11.74,77.49,21.81,0.7
HOUSEHOLD_1_423_WI_2_validation,1910,0,0.51,0.0,2.76,3.0,2.76,5.411658594929511,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",52.94,28.11,5.67,0.17,13.11,82.81,16.7,0.49
HOBBIES_1_151_TX_1_validation,1887,0,0.01,0.0,1.93,2.0,1.93,192.8071928071928,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",69.22,16.26,3.53,0.13,10.86,81.6,17.73,0.67
FOODS_2_345_WI_3_validation,1892,0,1.07,0.0,3.43,3.0,3.43,3.2055775179671215,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",68.16,5.75,8.75,0.14,17.21,39.28,59.76,0.95
HOUSEHOLD_1_521_WI_1_validation,1899,9,6.36,0.39,15.0,13.0,14.61,2.2971661994242147,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",81.68,4.89,4.6,0.23,8.6,50.34,47.26,2.41
FOODS_3_128_CA_1_validation,1891,0,0.0,0.0,0.0,1.0,0.0,0.0,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",78.8,13.39,2.72,0.08,5.0,82.69,16.8,0.51
FOODS_2_323_CA_3_validation,1899,1,1.1,0.0,3.39,3.0,3.39,3.0817901655439495,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",75.08,5.35,6.42,0.17,12.98,44.79,53.81,1.4
FOODS_3_191_TX_3_validation,1891,2,0.0,0.0,2.33,2.0,2.33,233000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",77.49,12.87,2.83,0.09,6.72,81.52,17.92,0.56
HOUSEHOLD_2_393_WI_3_validation,1903,0,0.0,0.0,0.0,1.0,0.0,0.0,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",77.41,16.46,2.07,0.09,3.98,88.44,11.1,0.46
HOUSEHOLD_2_184_WI_1_validation,1896,1,0.0,0.0,1.87,2.0,1.87,187000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",76.49,9.53,4.89,0.12,8.97,65.58,33.61,0.81
HOUSEHOLD_1_246_CA_2_validation,1892,4,6.7,0.96,13.37,12.0,12.41,1.8522360414387442,LOW,Seasonality And Events,"['Follow planned seasonal inventory', 'Continue monitoring event calendar', 'No additional action required']",81.8,5.1,5.14,0.2,7.77,48.88,49.22,1.9
HOBBIES_1_293_WI_3_validation,1888,1,0.0,0.0,1.0,1.0,1.0,99999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",79.29,13.49,2.03,0.11,5.08,86.31,12.99,0.7
FOODS_3_725_WI_3_validation,1911,0,1.41,0.0,3.6,4.0,3.6,2.553173381749066,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",74.25,8.6,4.68,0.28,12.19,63.42,34.53,2.05
FOODS_3_171_TX_1_validation,1894,0,0.0,0.0,0.0,1.0,0.0,0.0,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",80.0,14.35,2.35,0.08,3.23,85.51,14.0,0.49
HOUSEHOLD_2_146_WI_3_validation,1890,1,0.0,0.0,0.99,1.0,0.99,98999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",79.39,16.01,1.35,0.08,3.17,91.81,7.74,0.45
FOODS_3_091_CA_3_validation,1893,4,1.29,0.0,3.58,4.0,3.58,2.7751722854861587,LOW,Seasonality And Events,"['Follow planned seasonal inventory', 'Continue monitoring event calendar', 'No additional action required']",79.81,4.88,8.27,0.29,6.76,36.3,61.52,2.18
FOODS_3_826_TX_3_validation,1904,0,1.05,0.0,3.5,3.0,3.5,3.3333015876039274,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",67.75,14.32,5.59,0.14,12.19,71.4,27.87,0.72
HOBBIES_2_058_CA_4_validation,1900,0,0.0,0.0,1.08,1.0,1.08,108000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",79.08,13.55,2.11,1.03,4.23,81.19,12.64,6.17
HOUSEHOLD_2_117_CA_4_validation,1906,0,0.0,0.0,1.0,1.0,1.0,99999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",76.54,14.02,2.56,0.1,6.77,84.01,15.37,0.62
HOUSEHOLD_1_514_CA_4_validation,1911,0,1.3,0.0,3.68,4.0,3.68,2.8307474557888015,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",78.82,5.12,4.54,0.24,11.28,51.72,45.89,2.39
HOBBIES_1_206_TX_3_validation,1902,0,0.03,0.0,1.93,2.0,1.93,64.31189603465512,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",60.27,17.34,6.27,0.15,15.97,72.97,26.39,0.63
FOODS_1_012_TX_2_validation,1893,9,8.56,4.03,14.55,14.0,10.52,1.22897052690359,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",87.05,7.36,2.99,0.16,2.44,70.04,28.42,1.54
HOBBIES_2_003_CA_3_validation,1906,0,0.62,0.0,2.11,2.0,2.11,3.4031709165981194,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",67.47,5.26,6.28,0.11,20.88,45.13,53.9,0.97
FOODS_2_247_CA_1_validation,1904,2,1.89,0.0,5.69,5.0,5.69,3.0105660816609436,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",70.68,15.65,4.28,0.18,9.2,77.83,21.29,0.87
FOODS_2_148_TX_1_validation,1906,0,0.0,0.0,0.14,1.0,0.14,14000.0,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",76.51,15.37,2.45,0.1,5.56,85.76,13.67,0.57
FOODS_3_523_WI_2_validation,1908,1,1.68,0.0,4.3,4.0,4.3,2.559508574353724,LOW,Seasonality And Events,"['Follow planned seasonal inventory', 'Continue monitoring event calendar', 'No additional action required']",76.51,3.38,10.07,0.21,9.83,24.72,73.74,1.54
FOODS_3_352_CA_2_validation,1892,1,0.0,0.0,1.26,1.0,1.26,125999.99999999999,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",82.58,12.0,3.49,0.11,1.82,76.93,22.37,0.7
HOUSEHOLD_1_104_WI_3_validation,1890,0,0.0,0.0,0.0,1.0,0.0,0.0,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",80.93,14.4,1.45,0.19,3.02,89.77,9.01,1.21
FOODS_2_139_CA_3_validation,1892,7,2.9,0.02,6.77,6.0,6.75,2.327578180764894,LOW,Seasonality And Events,"['Follow planned seasonal inventory', 'Continue monitoring event calendar', 'No additional action required']",75.28,3.4,10.2,0.2,10.92,24.63,73.92,1.46
HOUSEHOLD_1_286_CA_4_validation,1887,0,0.0,0.0,1.07,1.0,1.07,107000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",81.11,12.61,1.95,0.11,4.22,85.98,13.28,0.74
HOBBIES_2_123_WI_1_validation,1907,0,0.0,0.0,0.04,1.0,0.04,3999.9999999999995,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",77.05,16.71,1.78,1.04,3.42,85.57,9.1,5.32
FOODS_1_080_CA_1_validation,1895,0,0.04,0.0,2.09,2.0,2.09,52.236940764808786,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",61.88,20.53,5.14,0.13,12.31,79.58,19.91,0.51
FOODS_3_204_WI_3_validation,1900,2,0.0,0.0,1.33,1.0,1.33,133000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",79.13,13.89,2.58,0.11,4.29,83.76,15.55,0.68
HOUSEHOLD_2_107_CA_4_validation,1891,0,0.0,0.0,1.0,1.0,1.0,99999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",77.49,12.69,2.84,0.1,6.88,81.19,18.15,0.66
HOUSEHOLD_1_213_TX_3_validation,1907,2,0.24,0.0,2.01,2.0,2.01,8.374651056205991,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",71.89,6.42,7.54,0.22,13.93,45.3,53.17,1.53
FOODS_3_812_CA_2_validation,1901,0,1.8,0.0,4.56,4.0,4.56,2.5333192593374476,LOW,Seasonality And Events,"['Follow planned seasonal inventory', 'Continue monitoring event calendar', 'No additional action required']",70.29,8.6,9.37,0.19,11.55,47.36,51.59,1.05
FOODS_3_250_CA_1_validation,1909,0,1.21,0.0,3.72,4.0,3.72,3.0743547573986993,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",69.75,8.04,9.18,0.26,12.77,45.99,52.52,1.49
HOBBIES_2_121_WI_2_validation,1907,0,0.0,0.0,0.08,1.0,0.08,7999.999999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",77.64,16.79,1.78,0.09,3.69,89.96,9.54,0.5
HOBBIES_1_092_TX_3_validation,1894,0,0.0,0.0,1.85,2.0,1.85,185000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",74.1,14.72,3.55,0.12,7.5,80.05,19.32,0.63
FOODS_3_387_WI_2_validation,1910,0,0.99,0.0,2.74,3.0,2.74,2.767648811628166,LOW,Seasonality And Events,"['Follow planned seasonal inventory', 'Continue monitoring event calendar', 'No additional action required']",72.24,4.89,10.47,0.19,12.22,31.45,67.35,1.2
FOODS_2_066_CA_3_validation,1906,1,0.0,0.0,1.1,1.0,1.1,110000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",78.41,12.44,2.59,0.1,6.45,82.2,17.11,0.69
HOUSEHOLD_1_019_CA_1_validation,1913,0,1.78,0.0,6.13,6.0,6.13,3.44380087752316,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",81.67,2.31,4.76,0.11,11.15,32.17,66.3,1.53
HOBBIES_2_002_CA_4_validation,1907,0,0.0,0.0,0.98,1.0,0.98,97999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",80.06,13.67,1.87,0.08,4.33,87.51,11.96,0.54
HOUSEHOLD_1_081_CA_4_validation,1886,0,0.0,0.0,0.97,1.0,0.97,96999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",79.54,16.24,1.74,0.11,2.38,89.81,9.6,0.59
HOUSEHOLD_1_002_CA_3_validation,1902,0,-0.0,0.0,1.89,2.0,1.89,188999.99999999997,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",67.92,18.71,3.74,0.13,9.5,82.85,16.57,0.58
HOUSEHOLD_2_175_CA_2_validation,1888,0,0.0,0.0,0.0,1.0,0.0,0.0,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",77.6,16.48,1.87,0.11,3.95,89.29,10.13,0.58
FOODS_3_633_CA_1_validation,1899,1,1.01,0.0,3.0,3.0,3.0,2.970267621112662,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",76.8,1.83,6.77,0.15,14.45,20.91,77.4,1.69
HOBBIES_1_349_WI_3_validation,1898,2,0.78,0.0,2.35,2.0,2.35,3.0127818874117,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",56.43,11.2,8.59,0.12,23.66,56.28,43.12,0.6
FOODS_1_217_WI_2_validation,1901,2,1.13,0.0,3.8,4.0,3.8,3.362802099096468,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",72.24,6.08,10.31,0.17,11.2,36.73,62.26,1.01
FOODS_3_280_TX_2_validation,1894,0,0.03,0.0,1.81,2.0,1.81,60.31322892369211,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",84.0,7.16,3.58,0.11,5.15,66.0,32.97,1.03
HOBBIES_1_395_CA_2_validation,1910,0,0.0,0.0,1.0,1.0,1.0,99999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",78.02,14.96,1.98,0.1,4.94,87.78,11.65,0.58
HOUSEHOLD_2_049_WI_3_validation,1895,0,0.0,0.0,1.6,2.0,1.6,160000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",79.73,12.31,2.81,0.11,5.05,80.84,18.44,0.72
HOUSEHOLD_1_270_CA_1_validation,1898,0,0.0,0.0,1.7,2.0,1.7,169999.99999999997,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",77.4,11.93,3.2,0.1,7.37,78.31,21.02,0.67
HOUSEHOLD_1_217_CA_4_validation,1910,0,0.22,0.0,2.02,2.0,2.02,9.181400845416118,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",82.01,1.17,4.54,0.13,12.15,20.04,77.76,2.2
FOODS_3_490_TX_2_validation,1912,1,0.01,0.0,1.48,2.0,1.48,147.85214785214785,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",77.18,11.03,3.49,0.11,8.19,75.4,23.86,0.74
HOUSEHOLD_2_035_CA_4_validation,1899,0,0.0,0.0,1.06,1.0,1.06,106000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",76.59,13.84,2.71,0.1,6.75,83.09,16.29,0.62
HOUSEHOLD_2_355_TX_2_validation,1901,0,0.0,0.0,1.0,1.0,1.0,99999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",79.45,13.31,2.41,0.11,4.72,84.09,15.21,0.7
FOODS_3_051_CA_4_validation,1899,2,1.09,0.0,3.45,3.0,3.45,3.165108576985532,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",61.74,11.42,9.1,0.22,17.53,55.07,43.88,1.05
HOUSEHOLD_1_133_CA_1_validation,1908,0,0.0,0.0,1.01,1.0,1.01,100999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",80.77,12.78,2.01,0.11,4.33,85.79,13.48,0.73
FOODS_2_102_TX_2_validation,1887,0,0.0,0.0,0.99,1.0,0.99,98999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",82.8,12.03,1.96,0.11,3.1,85.34,13.89,0.77
FOODS_3_321_CA_1_validation,1905,5,5.76,1.21,10.21,10.0,9.0,1.5624972873310985,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",76.35,9.13,5.38,0.12,9.03,62.43,36.77,0.8
HOUSEHOLD_2_115_TX_2_validation,1902,2,1.0,0.0,2.91,3.0,2.91,2.9099709002909973,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",79.64,1.83,7.74,0.2,10.59,18.73,79.22,2.05
FOODS_3_187_WI_2_validation,1905,1,2.66,0.02,5.64,5.0,5.62,2.112774012127774,LOW,Seasonality And Events,"['Follow planned seasonal inventory', 'Continue monitoring event calendar', 'No additional action required']",69.54,8.2,9.14,0.21,12.91,46.72,52.08,1.19
FOODS_3_149_TX_3_validation,1892,0,0.0,0.0,1.09,1.0,1.09,109000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",77.25,14.52,2.8,0.1,5.32,83.33,16.09,0.58
FOODS_1_104_TX_1_validation,1909,7,2.63,0.48,7.1,6.0,6.619999999999999,2.517100695434618,LOW,Seasonality And Events,"['Follow planned seasonal inventory', 'Continue monitoring event calendar', 'No additional action required']",79.95,6.62,6.74,0.17,6.52,48.89,49.82,1.28
HOBBIES_2_092_WI_3_validation,1891,0,0.0,0.0,0.57,1.0,0.57,56999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",75.2,15.66,2.76,0.1,6.29,84.55,14.9,0.55
HOUSEHOLD_2_259_WI_3_validation,1898,2,0.0,0.0,0.11,1.0,0.11,11000.0,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",75.68,15.65,2.85,0.1,5.72,84.12,15.33,0.55
FOODS_3_272_CA_1_validation,1890,1,0.0,0.0,1.97,2.0,1.97,196999.99999999997,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",86.67,3.39,2.08,0.11,7.75,60.7,37.28,2.02
HOUSEHOLD_2_348_TX_1_validation,1903,0,0.02,0.0,1.95,2.0,1.95,97.4512743628186,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",75.72,7.09,4.64,0.12,12.42,59.79,39.16,1.05
HOUSEHOLD_2_288_CA_3_validation,1906,2,0.0,0.0,1.0,1.0,1.0,99999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",78.6,12.08,2.62,0.1,6.61,81.6,17.69,0.71
HOUSEHOLD_2_136_WI_1_validation,1886,0,0.26,0.0,2.03,2.0,2.03,7.807392023383715,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",83.68,3.44,3.99,0.13,8.76,45.5,52.8,1.7
FOODS_2_318_CA_3_validation,1894,7,8.5,3.41,15.66,14.0,12.25,1.4411747750885,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",85.74,6.97,3.33,0.17,3.79,66.59,31.77,1.64
FOODS_1_210_CA_2_validation,1900,0,0.0,0.0,0.04,1.0,0.04,3999.9999999999995,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",79.1,16.46,2.01,0.1,2.33,88.64,10.83,0.53
HOUSEHOLD_2_460_WI_3_validation,1896,0,0.0,0.0,1.0,1.0,1.0,99999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",79.56,13.35,2.38,0.09,4.62,84.36,15.04,0.6
HOUSEHOLD_2_238_TX_1_validation,1888,0,0.0,0.0,0.99,1.0,0.99,98999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",79.21,13.68,2.17,0.11,4.82,85.67,13.61,0.72
HOUSEHOLD_2_161_CA_1_validation,1902,0,0.0,0.0,0.94,1.0,0.94,93999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",78.31,14.89,2.12,0.11,4.58,86.97,12.39,0.64
